max_nodes,method,selected_epsilon,tau,inner_iterations,outer_iterations,edit_distance,checkpoint,source_page,source_table
10,Matcher + KL,,,20,,,,19,Figure 2 right
10,Mirror,,0.1,20,20,,,19,Figure 2 right
20,Matcher + KL,,,20,,,,19,Figure 2 right
20,Mirror,,0.1,20,20,,,19,Figure 2 right
30,Matcher + KL,,,20,,,,19,Figure 2 right
30,Mirror,,0.1,20,20,,,19,Figure 2 right
40,Matcher + KL,,,20,,,,19,Figure 2 right
40,Mirror,,0.1,20,20,,,19,Figure 2 right
50,Matcher + KL,,,20,,,,19,Figure 2 right
50,Mirror,,0.1,20,20,,,19,Figure 2 right
60,Matcher + KL,,,20,,,,19,Figure 2 right
60,Mirror,,0.1,20,20,,,19,Figure 2 right
